Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/237/115/GCA_019237115.1_genomic.fna.gz	92.25	0.554	91.89-92.53	0.554	0.49-0.63	1	1.455	1072/29728	89.84	JAFAHS010000564.1 MAG: Deltaproteobacteria bacterium isolate CP_BE_BS_27 BE_BS_k147_10003286, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/100/905/GCF_023100905.1_genomic.fna.gz	92.25	0.539	91.95-92.54	0.539	0.48-0.60	1	1.714	1224/34384	89.80	NZ_CP064686.1 Bradyrhizobium sp. 4 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/003/219/115/GCA_003219115.1_genomic.fna.gz	92.25	0.357	91.53-92.98	0.357	0.26-0.45	1	1.303	294/11670	88.80	QHPN01000134.1 MAG: Verrucomicrobia bacterium isolate AV28 14_1009_13_20cm_scaffold_10011_curated, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/529/705/GCF_014529705.1_genomic.fna.gz	92.24	0.511	91.98-92.54	0.511	0.45-0.56	1	1.722	1293/38097	89.66	NZ_JAANIH010000100.1 Bradyrhizobium campsiandrae strain INPA 394B NODE_100_length_22698_cov_15.370210, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/167/105/GCF_029167105.1_genomic.fna.gz	92.23	0.531	91.95-92.56	0.531	0.47-0.59	1	1.707	1302/37262	89.75	NZ_JARFML010000100.1 Bradyrhizobium yuanmingense strain ALSPC2050 NODE_100_length_1926_cov_57.4024, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/462/955/GCF_016462955.1_genomic.fna.gz	92.23	0.543	91.92-92.43	0.543	0.48-0.62	1	1.649	1128/31951	89.78	NZ_JAEMSD010000452.1 MAG: Bradyrhizobium sp. isolate SupBloom_Metag_066 Bloom_2_NODE_10031_length_5611_cov_5.851872, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/402/665/GCF_019402665.1_genomic.fna.gz	92.22	0.528	91.98-92.54	0.528	0.46-0.58	1	1.695	1279/37037	89.71	NZ_VSST01000001.1 Bradyrhizobium canariense strain BTA-1 BTA-1_S1_R1_contig_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/881/085/GCF_017881085.1_genomic.fna.gz	92.20	0.513	91.78-92.49	0.513	0.45-0.61	1	1.776	774/23066	89.63	NZ_JADGRI010000415.1 MAG: Bradyrhizobium sp. isolate Chersky.37_22 contig-100_10019, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/123/965/GCF_008123965.1_genomic.fna.gz	92.20	0.537	91.93-92.50	0.537	0.47-0.59	1	1.715	1307/37723	89.72	NZ_VSTH01000001.1 Bradyrhizobium hipponense strain aSej3 asej3_(paired)_trimmed_(paired)_contig_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/426/845/GCF_000426845.1_genomic.fna.gz	92.19	0.492	91.86-92.49	0.492	0.42-0.57	1	1.625	1059/32627	89.53	NZ_AUGD01000001.1 Bradyrhizobium japonicum in8p8 K408DRAFT_scaffold00001.1_C, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/387/695/GCA_023387695.1_genomic.fna.gz	92.18	0.576	91.89-92.41	0.576	0.52-0.64	1	1.645	1065/29499	89.84	JAEWHT010000060.1 MAG: Proteobacteria bacterium isolate OH_PBlB_78 k127_1007977, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/012/485/GCF_022012485.1_genomic.fna.gz	92.17	0.516	91.87-92.45	0.516	0.46-0.59	1	1.593	1308/38918	89.63	NZ_JAKLTY010000001.1 Bradyrhizobium zhengyangense strain WYCCWR 13023 NMDC70033574_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/736/105/GCF_018736105.1_genomic.fna.gz	92.14	0.600	91.76-92.55	0.600	0.50-0.70	1	1.803	879/23704	89.92	NZ_CP076135.1 Bradyrhizobium sediminis strain S2-11-2 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/884/825/GCA_005884825.1_genomic.fna.gz	92.13	0.588	91.74-92.55	0.588	0.50-0.70	1	1.683	638/17508	89.87	VAZT01000748.1 MAG: Alphaproteobacteria bacterium isolate AP_15 14_1009_09_20cm_scaffold_100358, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/433/965/GCA_023433965.1_genomic.fna.gz	92.11	0.587	91.70-92.45	0.587	0.49-0.69	1	1.559	633/17696	89.81	JAEYTQ010000532.1 MAG: Proteobacteria bacterium isolate OH_CBlB_138 k127_1002872, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/128/765/GCF_028128765.1_genomic.fna.gz	92.09	0.505	91.74-92.41	0.505	0.44-0.58	1	1.675	1148/35720	89.50	NZ_LBJG01000028.1 Bradyrhizobium sp. CCBAU 51627 C393, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/114/975/GCF_004114975.1_genomic.fna.gz	92.09	0.555	91.79-92.39	0.555	0.50-0.63	1	1.728	1234/35893	89.70	NZ_CP030051.1 Bradyrhizobium guangdongense strain CCBAU 51649 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/243/075/GCA_019243075.1_genomic.fna.gz	92.08	0.598	91.66-92.39	0.598	0.51-0.71	1	1.672	588/16397	89.82	JAFAUV010000248.1 MAG: Bradyrhizobium sp. isolate CP_BM_RX_19 BM_RX_k147_10010050, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/042/885/GCA_030042885.1_genomic.fna.gz	92.08	0.571	91.60-92.42	0.571	0.48-0.69	1	1.587	526/15358	89.69	JASHYW010000219.1 MAG: Streptosporangiaceae bacterium isolate JOPF293 JOPF_A10C_contig_100593, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/242/285/GCF_019242285.1_genomic.fna.gz	92.05	0.542	91.74-92.37	0.542	0.47-0.62	1	1.761	1108/33569	89.58	NZ_JAFAVV010000742.1 MAG: Bradyrhizobium sp. isolate CP_BM_RX_45 BM_RX_k147_10022952, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/244/115/GCF_019244115.1_genomic.fna.gz	92.05	0.473	91.64-92.39	0.473	0.41-0.55	1	1.682	973/32506	89.30	NZ_JAFATE010000387.1 MAG: Bradyrhizobium sp. isolate CP_BM_ER_R9_4 BM_ER_R9_k147_1001000, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/645/855/GCF_019645855.1_genomic.fna.gz	92.05	0.333	91.41-92.73	0.333	0.25-0.41	1	1.338	506/22768	88.44	NZ_CP080999.1 Mycobacterium malmoense strain ATCC 29571 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/074/035/GCF_023074035.1_genomic.fna.gz	92.04	0.506	91.74-92.32	0.506	0.45-0.57	1	1.774	1316/41938	89.43	NZ_JADPKP010000181.1 Bradyrhizobium sp. 143 11LoS14_3_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/130/505/GCF_018130505.1_genomic.fna.gz	92.04	0.668	91.77-92.28	0.668	0.60-0.74	1	1.756	1246/32323	90.03	NZ_JAFCKH010000001.1 Bradyrhizobium tropiciagri strain SZCCT0294 NODE_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/115/265/GCF_900115265.1_genomic.fna.gz	92.01	0.543	91.71-92.30	0.543	0.48-0.62	1	1.702	1132/34227	89.59	NZ_FOVU01000035.1 Bradyrhizobium sp. Ghvi, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/780/605/GCA_016780605.1_genomic.fna.gz	92.01	0.369	91.40-92.69	0.369	0.30-0.45	1	1.569	455/18877	88.68	JADHLS010000099.1 MAG: Reyranella sp. isolate BS301-5m-G22 BS301-5m-sub-C1002, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/015/624/485/GCF_015624485.1_genomic.fna.gz	92.00	0.623	91.73-92.22	0.623	0.56-0.70	1	1.708	1149/31643	89.86	NZ_CP061378.1 Bradyrhizobium genosp. L strain BDV5419 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/113/735/GCF_900113735.1_genomic.fna.gz	91.99	0.515	91.65-92.35	0.515	0.44-0.60	1	1.704	1113/35196	89.46	NZ_FOQM01000095.1 Bradyrhizobium sp. Gha, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/440/035/GCF_001440035.1_genomic.fna.gz	91.98	0.573	91.70-92.25	0.573	0.51-0.65	1	1.724	1302/38482	89.65	NZ_LJYG01000001.1 Bradyrhizobium manausense strain BR 3351 contig145, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/426/895/GCF_013426895.1_genomic.fna.gz	91.97	0.131	91.10-92.94	0.131	0.09-0.18	1	1.225	374/39863	86.02	NZ_AP023174.1 Paraburkholderia sp. PGU16 chromosome 1, complete sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/024/758/505/GCF_024758505.1_genomic.fna.gz	91.96	0.587	91.73-92.21	0.587	0.53-0.64	1	1.723	1387/40413	89.69	NZ_CP077970.1 Bradyrhizobium arachidis strain SM32 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/697/065/GCF_030697065.1_genomic.fna.gz	91.96	0.500	91.47-92.34	0.500	0.43-0.60	1	1.798	687/22503	89.36	NZ_JAUYQU010000109.1 MAG: Bradyrhizobium sp. isolate C5_concoct.bin.166 C5_k141_100030, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/736/085/GCF_018736085.1_genomic.fna.gz	91.94	0.634	91.55-92.26	0.634	0.56-0.73	1	1.880	833/23015	89.85	NZ_CP076134.1 Bradyrhizobium sediminis strain S2-20-1 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/021/732/175/GCA_021732175.1_genomic.fna.gz	91.93	0.597	91.61-92.22	0.597	0.53-0.68	1	1.867	922/26820	89.70	JAKFVP010000375.1 MAG: Bradyrhizobium sp. isolate D3_Bin_4 D3_0000117, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/007/673/305/GCF_007673305.1_genomic.fna.gz	91.93	0.103	90.45-94.20	0.103	0.04-0.17	1	1.115	192/25560	85.40	NZ_VDZL01000100.1 Bacillus mycoides strain DE0362 NODE_100_length_19356_cov_12.700669, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/564/555/GCF_002564555.1_genomic.fna.gz	91.92	0.115	90.44-94.30	0.115	0.05-0.20	1	1.126	174/20892	85.69	NZ_NUVD01000076.1 Bacillus cereus strain AFS087218 AFS087218_107_D1_Contig100_140523, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/021/732/285/GCA_021732285.1_genomic.fna.gz	91.92	0.374	91.36-92.43	0.374	0.29-0.45	1	1.561	643/27284	88.61	JAKFVH010000009.1 MAG: Reyranella sp. isolate D3_Bin_12 D3_0000075, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/839/165/GCA_016839165.1_genomic.fna.gz	91.91	0.604	91.66-92.18	0.604	0.53-0.67	1	1.800	1140/33139	89.70	CP069300.1 Bradyrhizobium sp. PSBB068 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/189/245/GCF_001189245.1_genomic.fna.gz	91.90	0.577	91.59-92.19	0.577	0.50-0.65	1	1.725	1262/37893	89.61	NZ_LFIQ01000079.1 Bradyrhizobium pachyrhizi strain PAC 48 contig_1014, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/074/185/GCF_023074185.1_genomic.fna.gz	91.90	0.574	91.63-92.20	0.574	0.51-0.65	1	1.723	1190/36060	89.58	NZ_JADPKY010000132.1 Bradyrhizobium sp. 132 05LoS3_4_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/696/085/GCF_900696085.1_genomic.fna.gz	91.90	0.606	91.63-92.13	0.606	0.56-0.67	1	1.744	1376/39924	89.71	NZ_CAADFC020000001.1 Bradyrhizobium ivorense strain CI-1B isolate CI-1B, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/982/635/GCF_001982635.1_genomic.fna.gz	91.90	0.554	91.64-92.19	0.554	0.48-0.61	1	1.769	1221/37799	89.52	NZ_MKFI01000001.1 Bradyrhizobium mercantei strain SEMIA 6399 scaffold1.1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/846/235/GCF_029846235.1_genomic.fna.gz	91.89	0.627	91.60-92.14	0.627	0.56-0.70	1	1.777	1219/34667	89.76	NZ_JARVWP010000001.1 Bradyrhizobium sp. CER78 1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/240/695/GCA_018240695.1_genomic.fna.gz	91.89	0.335	91.21-92.59	0.335	0.25-0.41	1	1.553	436/20012	88.39	JAFEFH010000100.1 MAG: Proteobacteria bacterium isolate SZAS LIN-13 LIN-653__100__length-15849, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/015/071/065/GCF_015071065.1_genomic.fna.gz	91.89	0.111	90.45-94.16	0.111	0.04-0.17	1	1.116	199/25135	85.55	NZ_VOVA01000001.1 Bacillus cereus strain ACH27 1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/242/385/GCA_019242385.1_genomic.fna.gz	91.88	0.659	91.40-92.46	0.659	0.48-0.83	1	2.410	351/9720	89.84	JAFAVO010000052.1 MAG: Gammaproteobacteria bacterium isolate CP_BM_RX_38 BM_RX_k147_10056614, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/665/295/GCA_001665295.1_genomic.fna.gz	91.88	0.282	91.21-92.38	0.282	0.22-0.35	1	1.321	483/26457	87.89	LZSE01000001.1 Mycobacterium sp. 1554424.7 contig_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/947/648/125/GCF_947648125.1_genomic.fna.gz	91.87	0.609	91.63-92.14	0.609	0.55-0.68	1	1.716	1263/37144	89.67	NZ_CANSMR010000001.1 MAG: uncultured Bradyrhizobium sp. isolate SRR15633984_bin.32_metawrap_v1.3_MAG NODE.1_length_752267_cov_16_427922, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/185/145/GCA_016185145.1_genomic.fna.gz	91.87	0.377	91.41-92.32	0.377	0.31-0.45	1	1.546	782/33152	88.61	JACPOB010000115.1 MAG: Rhodospirillales bacterium isolate NC_groundwater_590_Pr5_B-0.1um_66_106 alan_book_18_scaffold_102002, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/010/730/745/GCF_010730745.1_genomic.fna.gz	91.86	0.374	91.28-92.44	0.374	0.29-0.46	1	1.352	492/21397	88.54	NZ_AP022615.1 Mycobacterium heidelbergense strain JCM 14842 chromosome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/757/995/GCF_001757995.1_genomic.fna.gz	91.86	0.112	90.59-94.35	0.112	0.04-0.18	1	1.116	198/25101	85.54	NZ_LXLV01000001.1 Bacillus mycoides strain GOE10 BWGOE10_contig000001, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/219/575/GCF_016219575.1_genomic.fna.gz	91.85	0.669	91.50-92.11	0.669	0.59-0.78	1	1.862	986/26972	89.88	NZ_JACRMG010000003.1 MAG: Bradyrhizobium sp. isolate NC_groundwater_1901_Pr3_S2p5_64_30 SR2-18-S2p5_coassembly_scaffold_10202, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/007/992/495/GCF_007992495.1_genomic.fna.gz	91.84	0.332	91.45-92.35	0.332	0.27-0.38	1	1.531	887/42079	88.29	NZ_BKAJ01000001.1 Reyranella soli strain NBRC 108950 sequence001, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/390/955/GCA_023390955.1_genomic.fna.gz	91.83	0.590	91.46-92.08	0.590	0.52-0.68	1	1.661	941/28796	89.55	JAEWBW010000644.1 MAG: Proteobacteria bacterium isolate OH_PBB_268 k127_1011608, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/031/202/265/GCF_031202265.1_genomic.fna.gz	91.83	0.605	91.57-92.11	0.605	0.55-0.67	1	1.807	1347/39801	89.65	NZ_CP100604.1 Bradyrhizobium sp. Ash2021 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/965/855/GCF_025965855.1_genomic.fna.gz	91.83	0.353	91.24-92.32	0.353	0.29-0.44	1	1.268	575/26649	88.36	NZ_JAOPWB010000158.1 MAG: Mycobacterium sp. isolate RYN_163 scaffold_1009795, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/013/695/565/GCA_013695565.1_genomic.fna.gz	91.82	0.505	91.34-92.23	0.505	0.42-0.61	1	1.708	740/25407	89.22	JACDAG010000224.1 MAG: Bradyrhizobium sp. isolate MGR_bin250 SD2897-2912_k127_101126, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/130/385/GCF_018130385.1_genomic.fna.gz	91.80	0.560	91.53-92.08	0.560	0.50-0.63	1	1.796	1094/34779	89.44	NZ_JAFCLU010000001.1 Bradyrhizobium sp. AUGA SZCCT0283 NODE_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/884/135/GCF_001884135.1_genomic.fna.gz	91.80	0.117	90.33-94.58	0.117	0.04-0.20	1	1.121	190/23521	85.60	NZ_MAOC01000001.1 Bacillus nitratireducens strain 4049 contig1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/130/545/GCF_018130545.1_genomic.fna.gz	91.80	0.568	91.51-92.11	0.568	0.49-0.64	1	1.762	1149/36047	89.48	NZ_JAFCKF010000001.1 Bradyrhizobium tropiciagri strain SZCCT0338 NODE_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/510/465/GCA_019510465.1_genomic.fna.gz	91.80	0.319	91.06-92.39	0.319	0.25-0.41	1	1.462	439/22304	88.10	JAEKKH010000316.1 MAG: Burkholderiales bacterium isolate SH_71_45 SH_S37_scaffold_10008, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/889/685/GCF_020889685.1_genomic.fna.gz	91.79	0.549	91.48-92.04	0.549	0.49-0.62	1	1.731	1203/38967	89.39	NZ_JACMYO010000001.1 Bradyrhizobium oropedii strain Pear76 Contigs_001, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/236/925/GCA_019236925.1_genomic.fna.gz	91.78	0.292	91.02-92.31	0.292	0.23-0.38	1	1.251	458/25104	87.88	JAFAID010000210.1 MAG: Mycobacterium sp. isolate CP_BE_BS_38 BE_BS_k147_10030326, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/021/154/785/GCA_021154785.1_genomic.fna.gz	91.78	0.649	91.47-91.99	0.649	0.57-0.72	1	1.591	969/28485	89.67	JAJKHX010000001.1 MAG: Nocardiopsis sp. isolate b3_HoplandSoilSeptJan k101_103557, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/969/825/GCF_001969825.1_genomic.fna.gz	91.78	0.591	91.50-92.09	0.591	0.52-0.67	1	1.765	1198/36837	89.54	NZ_MPVQ01000001.1 Bradyrhizobium brasilense strain UFLA03-321 Contig_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/972/155/GCF_019972155.1_genomic.fna.gz	91.78	0.602	91.48-92.05	0.602	0.54-0.67	1	1.763	1167/35584	89.56	NZ_BOVL01000001.1 Bradyrhizobium sp. RD5-C2 RD5C2contig01, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/799/405/GCF_004799405.1_genomic.fna.gz	91.76	0.525	91.28-92.15	0.525	0.44-0.64	1	1.760	695/23335	89.28	NZ_SSMW01000001.1 MAG: Bradyrhizobium sp. isolate LY.8 1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/884/465/GCA_005884465.1_genomic.fna.gz	91.76	0.655	91.34-92.11	0.655	0.55-0.78	1	1.796	570/16321	89.74	VAZH01000424.1 MAG: Alphaproteobacteria bacterium isolate AP_3 14_1009_16_30cm_scaffold_100117, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/910/095/GCF_029910095.1_genomic.fna.gz	91.73	0.599	91.47-91.98	0.599	0.53-0.66	1	1.839	1142/35291	89.52	NZ_CP094526.1 Bradyrhizobium sp. ISRA464 chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/013/289/985/GCA_013289985.1_genomic.fna.gz	91.73	0.256	90.99-92.43	0.256	0.20-0.34	1	1.360	411/25650	87.52	JABCYW010000001.1 MAG: Betaproteobacteria bacterium isolate Inc-BW-H-2-M_MAG61 Ga0210384_10000008, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/373/795/GCF_013373795.3_genomic.fna.gz	91.73	0.644	91.50-91.97	0.644	0.57-0.72	1	1.748	1261/37128	89.66	NZ_CP088022.1 Bradyrhizobium quebecense strain 66S1MB chromosome, complete genome
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/003/218/475/GCA_003218475.1_genomic.fna.gz	91.72	0.582	91.20-92.26	0.582	0.46-0.70	1	1.560	414/13382	89.39	QHNR01000048.1 MAG: Verrucomicrobia bacterium isolate AV71 14_0903_13_30cm_scaffold_1007495_curated, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/938/305/GCF_000938305.1_genomic.fna.gz	91.72	0.575	91.40-92.00	0.575	0.50-0.66	1	1.734	1051/33642	89.42	NZ_JYMT01000001.1 Bradyrhizobium sp. LTSP885 NODE_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/215/605/GCA_016215605.1_genomic.fna.gz	91.71	0.416	91.15-92.17	0.416	0.34-0.51	1	1.934	605/24942	88.69	JACRJB010000024.1 MAG: Rhodopseudomonas palustris isolate NC_groundwater_1818_Pr3_B-0.1um_66_35 SR-2_scaffold_141_1066281, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/884/065/GCF_001884065.1_genomic.fna.gz	91.70	0.126	90.44-93.72	0.126	0.06-0.20	1	1.118	211/25136	85.71	NZ_MACH01000001.1 Bacillus proteolyticus strain TD42 contig1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/387/735/GCA_023387735.1_genomic.fna.gz	91.69	0.605	91.28-91.95	0.605	0.54-0.71	1	1.788	839/26431	89.47	JAEWHP010000010.1 MAG: Proteobacteria bacterium isolate OH_PBlB_71 k127_1011274, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/021/390/645/GCF_021390645.1_genomic.fna.gz	91.69	0.120	90.33-93.04	0.120	0.07-0.19	1	1.311	305/38640	85.54	NZ_JAJEJT010000001.1 Paraburkholderia flagellata strain 4D117 assembly_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/020/160/955/GCA_020160955.1_genomic.fna.gz	91.69	0.385	91.11-92.38	0.385	0.31-0.46	1	1.580	490/21598	88.50	JAIUOX010000006.1 MAG: Proteobacteria bacterium isolate REYR1 spades-bin.99~NODE_1011_length_68085_cov_1.37767, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/296/405/GCF_004296405.1_genomic.fna.gz	91.68	0.564	91.41-91.96	0.564	0.50-0.63	1	1.792	1224/40309	89.34	NZ_PSRR01000001.1 Bradyrhizobium sp. Leo170 Contig001_, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/130/695/GCF_018130695.1_genomic.fna.gz	91.68	0.630	91.43-92.01	0.630	0.56-0.70	1	1.809	1235/37620	89.56	NZ_JAFCJX010000001.1 Bradyrhizobium jicamae strain SZCCT0349 NODE_1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/908/235/GCF_001908235.1_genomic.fna.gz	91.68	0.619	91.37-91.96	0.619	0.55-0.70	1	1.760	1248/38368	89.54	NZ_LGHK01000001.1 Bradyrhizobium sp. NAS96.2 Bradyrhizobium_NAS96.2_c1, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/654/605/GCF_030654605.1_genomic.fna.gz	91.67	0.578	91.25-91.91	0.578	0.50-0.69	1	1.860	743/24126	89.38	NZ_JAURXB010000001.1 MAG: Bradyrhizobium sp. isolate E10_concoct.bin.67 E10_k141_102, whole genome shotgun sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/496/285/GCF_000496285.1_genomic.fna.gz	91.67	0.086	89.44-92.99	0.086	0.05-0.16	1	1.041	121/21244	84.64	NC_022781.1 Bacillus toyonensis BCT-7112, complete sequence
S12830_2_R1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/668/725/GCF_001668725.1_genomic.fna.gz	91.67	0.332	91.06-92.31	0.332	0.26-0.41	1	1.366	478/24542	88.07	NZ_LZKL01000001.1 Mycobacterium sp. E787 contig_1, whole genome shotgun sequence
